,Waktu,Pipi,Alis
36,34:22.3,0.86914,3.42285
37,34:22.4,0.86426,3.51563
38,34:22.4,0.86426,3.54492
39,34:22.4,0.86426,3.53516
40,34:22.4,0.88379,3.48633
41,34:22.4,0.88379,3.51074
42,34:22.4,0.88867,3.59863
43,34:22.5,0.87402,3.53027
44,34:22.5,0.87402,3.47656
45,34:22.5,0.87402,3.50098
46,34:22.5,0.86914,3.59863
47,34:22.5,0.87402,3.60352
48,34:22.6,0.87402,3.55957
49,34:22.6,0.89355,3.52051
50,34:22.6,0.89355,3.59863
51,34:22.6,0.89355,3.6377
52,34:22.6,0.86914,3.53027
53,34:22.6,0.87402,3.49121
54,34:22.7,0.87402,3.53516
55,34:22.7,0.86914,3.59863
56,34:22.7,0.86914,3.59375
57,34:22.7,0.87402,3.52539
58,34:22.7,0.87402,3.51074
59,34:22.7,0.88379,3.6084
60,34:22.8,0.87891,3.59375
61,34:22.8,0.86426,3.52051
62,34:22.8,0.86914,3.50586
63,34:22.8,0.86426,3.5791
64,34:22.8,0.86426,3.59375
65,34:22.9,0.86914,3.58887
66,34:22.9,0.87891,3.53027
67,34:22.9,0.88379,3.5791
68,34:22.9,0.88867,3.66211
69,34:22.9,0.87402,3.58887
70,34:22.9,0.86914,3.52539
71,34:23.0,0.86914,3.53516
72,34:23.0,0.86914,3.62793
73,34:23.0,0.86914,3.63281
74,34:23.0,0.87891,3.59375
75,34:23.0,0.88379,3.54492
76,34:23.0,0.89355,3.61816
77,34:23.1,0.89355,3.64746
78,34:23.1,0.87402,3.55469
79,34:23.1,0.87402,3.52051
80,34:23.1,0.87402,3.56934
81,34:23.1,0.87402,3.62305
82,34:23.2,0.87402,3.61816
83,34:23.2,0.88379,3.5498
84,34:23.2,0.88379,3.55469
85,34:23.2,0.89844,3.65723
86,34:23.2,0.88379,3.62793
87,34:23.2,0.86914,3.5498
88,34:23.3,0.87402,3.52539
89,34:23.3,0.86426,3.6084
90,34:23.3,0.85937,3.6377
91,34:23.3,0.86426,3.62793
92,34:23.3,0.87891,3.55469
93,34:23.3,0.87891,3.59375
94,34:23.4,0.88379,3.66699
95,34:23.4,0.86914,3.59863
96,34:23.4,0.86426,3.54492
97,34:23.4,0.86914,3.54492
98,34:23.4,0.86426,3.64258
99,34:23.5,0.86426,3.6377
100,34:23.5,0.86914,3.58887
101,34:23.5,0.87891,3.55957
102,34:23.5,0.88867,3.64258
103,34:23.5,0.88379,3.66211
104,34:23.5,0.86914,3.56934
105,34:23.6,0.86914,3.52539
106,34:23.6,0.86914,3.58398
107,34:23.6,0.85937,3.6377
108,34:23.6,0.86426,3.62305
109,34:23.6,0.87402,3.55469
110,34:23.6,0.87891,3.55469
111,34:23.7,0.88379,3.64746
112,34:23.7,0.87402,3.61328
113,34:23.7,0.86914,3.54492
114,34:23.7,0.86914,3.52051
115,34:23.7,0.86426,3.61816
116,34:23.8,0.85449,3.62793
117,34:23.8,0.86426,3.61328
118,34:23.8,0.87402,3.54492
119,34:23.8,0.88379,3.59375
120,34:23.8,0.88867,3.64746
121,34:23.8,0.87402,3.5791
122,34:23.9,0.87402,3.52539
123,34:23.9,0.87402,3.53027
124,34:23.9,0.86914,3.62305
125,34:23.9,0.86426,3.62305
126,34:23.9,0.87402,3.58398
127,34:23.9,0.88379,3.55469
128,34:24.0,0.88867,3.64258
129,34:24.0,0.88379,3.66211
130,34:24.0,0.86914,3.57422
131,34:24.0,0.87402,3.54004
132,34:24.0,0.87402,3.60352
133,34:24.1,0.86914,3.65234
134,34:24.1,0.87402,3.64746
135,34:24.1,0.88867,3.56934
136,34:24.1,0.88867,3.58398
137,34:24.1,0.89355,3.67188
138,34:24.1,0.88379,3.63281
139,34:24.2,0.86914,3.55469
140,34:24.2,0.87402,3.52051
141,34:24.2,0.86914,3.6084
142,34:24.2,0.86426,3.61816
143,34:24.2,0.86426,3.60352
144,34:24.3,0.87402,3.53027
145,34:24.3,0.88867,3.5791
146,34:24.3,0.88379,3.62793
147,34:24.3,0.86914,3.55469
148,34:24.3,0.86426,3.51074
149,34:24.3,0.86914,3.53516
150,34:24.4,0.86426,3.62305
151,34:24.4,0.86426,3.62305
152,34:24.4,0.87402,3.57422
153,34:24.4,0.87891,3.5498
154,34:24.4,0.89355,3.6377
155,34:24.4,0.89355,3.65723
156,34:24.5,0.87402,3.57422
157,34:24.5,0.87402,3.53516
158,34:24.5,0.86914,3.61816
159,34:24.5,0.86426,3.66699
160,34:24.5,0.86426,3.66211
161,34:24.6,0.87891,3.5791
162,34:24.6,0.87891,3.59375
163,34:24.6,0.88867,3.67676
164,34:24.6,0.87891,3.64258
165,34:24.6,0.86914,3.55957
166,34:24.6,0.87402,3.54004
167,34:24.7,0.86914,3.63281
168,34:24.7,0.86426,3.62305
169,34:24.7,0.86914,3.60352
170,34:24.7,0.87891,3.54004
171,34:24.7,0.88379,3.60352
172,34:24.7,0.88379,3.65723
173,34:24.8,0.86426,3.56934
174,34:24.8,0.86426,3.51074
175,34:24.8,0.86914,3.54492
176,34:24.8,0.86426,3.63281
177,34:24.8,0.87402,3.63281
178,34:24.9,0.87402,3.57422
179,34:24.9,0.86914,3.54492
180,34:24.9,0.88379,3.6377
181,34:24.9,0.88379,3.66211
182,34:24.9,0.86426,3.5791
183,34:24.9,0.86426,3.54004
184,34:25.0,0.86914,3.62305
185,34:25.0,0.86426,3.66211
186,34:25.0,0.86914,3.65723
187,34:25.0,0.87891,3.59375
188,34:25.0,0.88867,3.61816
189,34:25.0,0.89844,3.70605
190,34:25.1,0.88379,3.66211
191,34:25.1,0.86914,3.58398
192,34:25.1,0.88379,3.59375
193,34:25.1,0.86914,3.69629
194,34:25.1,0.86914,3.69629
195,34:25.2,0.87402,3.65723
196,34:25.2,0.88379,3.58887
197,34:25.2,0.88379,3.6377
198,34:25.2,0.89355,3.69141
199,34:25.2,0.87402,3.59863
200,34:25.2,0.87402,3.5498
201,34:25.3,0.87402,3.57422
202,34:25.3,0.86914,3.63281
203,34:25.3,0.86426,3.62305
204,34:25.3,0.86914,3.56934
205,34:25.3,0.87402,3.5498
206,34:25.3,0.88867,3.64258
207,34:25.4,0.87891,3.6377
208,34:25.4,0.85937,3.5498
209,34:25.4,0.87402,3.51563
210,34:25.4,0.86426,3.61328
211,34:25.4,0.85937,3.6377
212,34:25.5,0.86426,3.64258
213,34:25.5,0.87402,3.56445
214,34:25.5,0.87891,3.59863
215,34:25.5,0.89355,3.68652
216,34:25.5,0.87402,3.64746
217,34:25.5,0.86914,3.5791
218,34:25.6,0.87402,3.57422
219,34:25.6,0.85937,3.66211
220,34:25.6,0.86914,3.67188
221,34:25.6,0.87402,3.65234
222,34:25.6,0.87891,3.59863
223,34:25.6,0.89355,3.66699
224,34:25.7,0.88867,3.71582
225,34:25.7,0.86914,3.62793
226,34:25.7,0.86914,3.5791
227,34:25.7,0.87402,3.62305
228,34:25.7,0.86914,3.69141
229,34:25.8,0.86914,3.68164
230,34:25.8,0.87402,3.6084
231,34:25.8,0.87891,3.58887
232,34:25.8,0.89355,3.68164
233,34:25.8,0.88379,3.67188
234,34:25.8,0.86426,3.57422
235,34:25.9,0.87402,3.54004
236,34:25.9,0.86426,3.61816
237,34:25.9,0.85937,3.63281
238,34:25.9,0.86426,3.61816
239,34:25.9,0.86914,3.54492
240,34:26.0,0.87891,3.58887
241,34:26.0,0.89355,3.66211
